userName,rating,title,timestamp
Tom Cook,2.5,Rocky III,2009-12-14 02:52:15
Tom Cook,1.0,Greed,2009-12-14 02:53:23
Tom Cook,4.0,American Pie,2009-12-14 02:52:19
Tom Cook,2.0,My Tutor,2009-12-14 02:53:18
Tom Cook,2.0,Jay and Silent Bob Strike Back,2009-12-14 02:51:48
Tom Cook,2.5,Confidentially Yours,2009-12-14 02:51:53
Katherine Stevens,5.0,The Dark,1996-06-21 11:14:41
Katherine Stevens,3.0,2001: A Space Odyssey,1996-06-21 11:15:49
Katherine Stevens,4.0,Three Colors: Red,1996-06-21 11:12:12
Katherine Stevens,3.0,Wings of Desire,1996-06-21 11:20:16
Katherine Stevens,5.0,48 Hrs.,1996-06-21 11:09:55
Katherine Stevens,4.0,Lost in Translation,1996-06-21 11:10:41
Katherine Stevens,3.0,Ocean's Eleven,1996-06-21 11:11:33
Katherine Stevens,3.0,Back to the Future Part II,1996-06-21 11:10:41
Katherine Stevens,3.0,Star Trek IV: The Voyage Home,1996-06-21 11:15:10
Katherine Stevens,3.0,A Clockwork Orange,1996-06-21 11:11:51
Katherine Stevens,3.0,Lucky Number Slevin,1996-06-21 11:14:24
Katherine Stevens,5.0,Berlin: Symphony of a Great City,1996-06-21 11:17:20
Katherine Stevens,1.0,Rebecca,1996-06-21 11:15:49
Katherine Stevens,3.0,Man of Iron,1996-06-21 11:12:32
Katherine Stevens,3.0,Stand by Me,1996-06-21 11:14:24
Katherine Stevens,3.0,Pocketful of Miracles,1996-06-21 11:18:16
Katherine Stevens,4.0,Live and Let Die,1996-06-21 11:11:51
Katherine Stevens,4.0,Cat on a Hot Tin Roof,1996-06-21 11:14:41
Katherine Stevens,5.0,Lili Marleen,1996-06-21 11:14:57
Katherine Stevens,5.0,Contempt,1996-06-21 11:13:06
Katherine Stevens,3.0,Batman Begins,1996-06-21 11:16:07
Katherine Stevens,4.0,The White Sound,1996-06-21 11:16:19
Katherine Stevens,3.0,Dave Chappelle's Block Party,1996-06-21 11:11:32
Katherine Stevens,4.0,Terminator 3: Rise of the Machines,1996-06-21 11:09:55
Katherine Stevens,3.0,The Science of Sleep,1996-06-21 11:12:12
Katherine Stevens,4.0,Catwoman,1996-06-21 11:20:44
Katherine Stevens,2.0,Grbavica: The Land of My Dreams,1996-06-21 11:12:31
Katherine Stevens,1.0,True Romance,1996-06-21 11:18:38
Katherine Stevens,3.0,Night on Earth,1996-06-21 11:11:32
Katherine Stevens,4.0,Cockles and Muscles,1996-06-21 11:10:41
Katherine Stevens,4.0,The Devil Wears Prada,1996-06-21 11:14:57
Katherine Stevens,3.0,Batman Returns,1996-06-21 11:13:24
Katherine Stevens,3.0,A Nightmare on Elm Street,1996-06-21 11:15:10
Katherine Stevens,2.0,La Strada,1996-06-21 11:24:06
Katherine Stevens,3.0,Summer in Berlin,1996-06-21 11:12:12
Katherine Stevens,4.0,Romeo + Juliet,1996-06-21 11:13:24
Katherine Stevens,3.0,Sissi,1996-06-21 11:11:51
Katherine Stevens,4.0,My Own Private Idaho,1996-06-21 11:16:30
Katherine Stevens,4.0,Monsoon Wedding,1996-06-21 11:14:03
Katherine Stevens,3.0,The Green Mile,1996-06-21 11:18:00
Katherine Stevens,4.0,Reservoir Dogs,1996-06-21 11:15:31
Katherine Stevens,4.0,Love Actually,1996-06-21 11:17:40
Katherine Stevens,4.0,Notting Hill,1996-06-21 11:15:19
Katherine Stevens,4.0,Once Were Warriors,1996-06-21 11:15:31
Katherine Stevens,4.0,Not Here to Be Loved,1996-06-21 11:23:19
Katherine Stevens,3.0,Psycho,1996-06-21 11:16:07
Katherine Stevens,3.0,Fight Club,1996-06-21 11:21:49
Katherine Stevens,5.0,The Poseidon Adventure,1996-06-21 11:16:07
Katherine Stevens,3.0,Bread and Tulips,1996-06-21 11:17:40
Katherine Stevens,5.0,"Monsters, Inc.",1996-06-21 11:16:57
Katherine Stevens,3.0,Wag the Dog,1996-06-21 11:16:30
Katherine Stevens,3.0,Big Fish,1996-06-21 11:16:19
Katherine Stevens,3.0,Silent Hill,1996-06-21 11:10:41
Katherine Stevens,5.0,The Hours,1996-06-21 11:09:55
Katherine Stevens,5.0,The Conversation,1996-06-21 11:09:55
Katherine Stevens,3.0,Solaris,1996-06-21 11:11:51
Katherine Stevens,3.0,The Last Samurai,1996-06-21 11:18:52
Katherine Stevens,4.0,The Marriage of Maria Braun,1996-06-21 11:22:21
